,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
860,A Fair Exchange,1909,N/A,23 Sep 1909,11 min,"Short, Drama",D.W. Griffith,"George Eliot (novel), Frank E. Woods","James Kirkwood, Mack Sennett, Henry B. Walthall, Anthony O'Sullivan","Free adaptation of George Eliot's ""Silas Marner."" This Biograph adaptation makes Master Marner a cobbler instead of a linen weaver, but this change does not weaken, nor make less romantic, ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,13,tt0000861,movie,N/A,N/A,N/A,N/A,True,
861,Faldgruben,1909,N/A,20 Apr 1909,N/A,N/A,Emanuel Tvede,Émile Zola,"Hr. Andreasen, Kate Fabian, Carl Hintz","The plumber Coupeau run into the lovable Gervaise, with knowing that she is the lover of his friend Lantier, Coupeau begin to flirt the girl. The rascal Lantier has recently fallen in love with the beautiful Virginie.",None,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,17,tt0000862,movie,N/A,N/A,N/A,N/A,True,
862,Farmer Giles' Visit to London,1909,N/A,01 Aug 1909,N/A,"Short, Comedy",Theo Frenkel,N/A,N/A,A visiting farmer is gulled by coiners and stripped by crooks.,None,UK,N/A,N/A,[],N/A,N/A,N/A,tt0000863,movie,N/A,N/A,N/A,N/A,True,
863,The Fascinating Mrs. Francis,1909,N/A,21 Jan 1909,5 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Marion Leonard, Barry O'Moore, Anita Hendrie, Harry Solter","A young man becomes infatuated with Mrs. Francis after she sings at a party. His father convinces her to discourage the young man's attentions. Out of despair, the young man considers suicide, until he meets a woman his own age.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,9,tt0000864,movie,N/A,N/A,N/A,N/A,True,
864,A Father's Mistake,1909,N/A,01 Oct 1909,N/A,"Short, Crime, Drama",Theo Frenkel,N/A,N/A,A rich man rejects his son's IOU and blames him when he is robbed.,None,UK,N/A,N/A,[],N/A,N/A,N/A,tt0000865,movie,N/A,N/A,N/A,N/A,True,
865,Fellow Clerks,1909,N/A,01 Oct 1909,N/A,"Short, Crime, Drama",Theo Frenkel,N/A,N/A,A farmer's daughter saves a bank clerk from a false charge of theft.,None,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,7,tt0000866,movie,N/A,N/A,N/A,N/A,True,
866,Fiesta de toros,1909,N/A,N/A,N/A,N/A,Hermanos Alva,N/A,N/A,N/A,None,Mexico,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,7,tt0000867,movie,N/A,N/A,N/A,N/A,True,
867,Fiestas de Santa Lucía - Belenes,1909,N/A,N/A,N/A,N/A,Fructuós Gelabert,Fructuós Gelabert,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000868,movie,N/A,N/A,N/A,N/A,True,
868,Fiestas en La Garriga,1909,N/A,N/A,N/A,N/A,Fructuós Gelabert,Fructuós Gelabert,N/A,N/A,N/A,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",N/A,3.8,6,tt0000869,movie,N/A,N/A,N/A,N/A,True,
869,A Fool's Revenge,1909,N/A,04 Mar 1909,11 min,"Short, Drama",D.W. Griffith,"D.W. Griffith, Victor Hugo (novel)","Owen Moore, Charles Inslee, Marion Leonard, Linda Arvidson","A court fool believes the Duke is after his beautiful daughter, and arranges to have the Duke murdered. The daughter overhears the plot and, disguised in the Duke's cloak, sacrifices her life to save him.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,12,tt0000870,movie,N/A,N/A,N/A,N/A,True,
870,Fools of Fate,1909,N/A,07 Oct 1909,11 min,"Short, Drama",D.W. Griffith,Frank E. Woods,"James Kirkwood, Marion Leonard, Frank Powell, Henry B. Walthall","Fanny is the wife of Ben Webster, a trapper, and while he is an affectionate and dutiful husband, she yearns for something which appears better than her lot. She reasons: ""Have I not youth ...",English,USA,N/A,"https://m.media-amazon.com/images/M/MV5BNjg3MTI3ODI2N15BMl5BanBnXkFtZTcwMTg1MDA4Mg@@._V1._CR64,90,235,329_SY132_CR2,0,89,132_AL_.jpg_V1_SX300.jpg","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,30,tt0000871,movie,N/A,N/A,N/A,N/A,True,
871,The Foundling,1909,N/A,12 Jun 1909,N/A,"Short, Drama",Van Dyke Brooke,N/A,Mary Fuller,"Ruth, the daughter of John Hodgson, a merchant in a small provincial town, has been betrayed and tempted away from home. The man dies before he can make reparation for the wrong, and Ruth, ...",N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000872,movie,N/A,N/A,N/A,N/A,True,
872,Bakchisarayskiy fontan,1909,N/A,N/A,N/A,"Short, Drama",Yakov Protazanov,"Yakov Protazanov, Alexander Pushkin","Mariya Korolyova, Aleksey Muravin, Yelizaveta Uvarova",N/A,None,Russia,N/A,https://m.media-amazon.com/images/M/MV5BZmZjNThiZDEtNWE4Zi00ODg4LTkyYTEtN2ZlNzAzNDkwYzI2XkEyXkFqcGdeQXVyNTAxMTUwNDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,11,tt0000873,movie,N/A,N/A,N/A,N/A,True,
873,The French Duel,1909,N/A,10 May 1909,4 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"John R. Cumpson, Arthur V. Johnson, Charles Avery",Alphonse and Gaston get into an argument over cocktails and agree to a duel.,"None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,51,tt0000874,movie,N/A,N/A,N/A,N/A,True,
874,The Friend of the Family,1909,N/A,15 Jul 1909,8 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Frank Powell, Owen Moore, Violet Mersereau","Robert is about to abandon his family for a society beauty. His best friend romances the beauty, who then drops Robert and sends him back to his family.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,9,tt0000875,movie,N/A,N/A,N/A,N/A,True,
875,Fuss and Feathers,1909,N/A,07 May 1909,N/A,"Comedy, Short",Edwin S. Porter,N/A,"Mary Fuller, Florence Turner","The day Mrs. Bangs purchased her new Easter bonnet will ever be remembered by Mr. Banes as one of calamity. Primarily, his irascibility is responsible for the sum total of his misfortunes. ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000876,movie,N/A,N/A,N/A,N/A,True,
876,Getting Even,1909,N/A,13 Sep 1909,6 min,"Comedy, Short",D.W. Griffith,D.W. Griffith,"Billy Quirk, Mary Pickford, James Kirkwood, Edwin August","The most satisfying and pleasurable sensation experienced is ""getting even,"" especially where one has been held up to ridicule before a jeering mob. Such was the reguerdon of Bud, the Kid ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BM2ZkZDJkYjYtN2ZlYS00ZDRiLTkwMzQtNDg4NGM2YjlkNWRlXkEyXkFqcGdeQXVyNDQwMzk4OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,55,tt0000877,movie,N/A,N/A,N/A,N/A,True,
877,The Gibson Goddess,1909,N/A,01 Nov 1909,6 min,"Comedy, Short",D.W. Griffith,D.W. Griffith,"Marion Leonard, Anthony O'Sullivan, George Nichols","A pack of admirers won't leave a beautiful woman alone at a seaside resort, so she devises a plan. She appears in a leg-revealing swimsuit, but the stockings have been stuffed with cotton to make her limbs appear misshapen. All but o","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMmY5OTZiMGQtYzFmOC00Yjk5LWFjOTUtY2Y1Y2IxZDNiM2EyXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,161,tt0000878,movie,N/A,N/A,N/A,N/A,True,
878,Gira política de Madero y Pino Suárez,1909,N/A,N/A,N/A,N/A,Hermanos Alva,N/A,"Francisco I. Madero, José María Pino Suárez",N/A,None,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BYmJjY2RmYjYtYTUzOS00MzhjLTliY2MtMWI2NTM0OTg3MTI2XkEyXkFqcGdeQXVyMTk1MjA1NjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,7,tt0000879,movie,N/A,N/A,N/A,N/A,True,
879,The Girls and Daddy,1909,N/A,01 Feb 1909,15 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"David Miles, Florence Lawrence, Dorothy West, Florence Barker",Portrays two teenage girls who are safeguarding money for their father and their reaction to a burglar's attempt to steal it.,"None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,40,tt0000880,movie,N/A,N/A,N/A,N/A,True,
880,Le glas du père Césaire,1909,N/A,N/A,N/A,Short,N/A,Abel Gance,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000881,movie,N/A,N/A,N/A,N/A,True,
881,The Golden Louis,1909,N/A,22 Feb 1909,5 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Anita Hendrie, Adele DeGarde, Owen Moore","An anonymous donor drops a gold coin in the shoe of a homeless girl as she sleeps. A gambler with a 'sure thing' borrows the coin and wins a fortune, but he can't find her again to repay her.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BN2Q5YzFlZjYtODQ5Yi00ZmY4LTlhNTktM2MyMGI3NGJkYWMzXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,155,tt0000882,movie,N/A,N/A,N/A,N/A,True,
882,The Grey Lady,1909,N/A,11 Sep 1909,14 min,"Short, Mystery",Viggo Larsen,"Arthur Conan Doyle (main characters), Viggo Larsen","Viggo Larsen, Holger-Madsen, Gustav Lund, Elith Pio","In a mansion full of secret rooms and passageways, people are dying shortly after seeing the ghost of a woman in gray, as an old legend dictates. Called in to solve the mystery, Sherlock ...",N/A,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BNDdiOTA1MzctOTNmMS00NDI1LTkzNWItMjYxODc2YmQ5NTBmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0000883,movie,N/A,N/A,N/A,N/A,True,
883,The Red Domino,1909,N/A,16 Oct 1909,N/A,"Short, Drama",Viggo Larsen,N/A,"August Blom, Gudrun Kjerulf, Viggo Larsen, Agnes Lorentzen","The Countess X. receives during a party a young man, who brings her a message from a friend, whom she believed to be in exile, asking her to come and see him the same evening in order to ...",None,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BYmVkZDAwZWUtNjA3OS00M2RiLThiZDItNDEzY2YwZGM2MjdmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,7,tt0000884,movie,N/A,N/A,N/A,N/A,True,
884,Guzmán el Bueno,1909,N/A,N/A,19 min,Short,"Fructuós Gelabert, Enrique Jiménez",Fructuós Gelabert,"Bozo, Señor Gallart, Señora Guerra, Enrique Guitart",N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000885,movie,N/A,N/A,N/A,N/A,True,
885,Hamlet,1910,N/A,02 Feb 1910,N/A,Drama,Gérard Bourgeois,William Shakespeare,Jean Mounet-Sully,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BZmQ0ZmRlOGUtOGJmNi00NDhmLWJiZTYtNTJmNzhkOWY3YzE1XkEyXkFqcGdeQXVyOTk0NTYwMzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,36,tt0000886,movie,N/A,N/A,N/A,N/A,True,
886,Hansel and Gretel,1909,N/A,15 Oct 1909,N/A,"Drama, Short",J. Searle Dawley,J. Searle Dawley (scenario),"Cecil Spooner, Mary Fuller, Ethel Browning","We are transported back to the little Dutch cottage in the woods and see little Hansel and Gretel and their parents, and we feel their hunger and are glad when their father starts out with ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,26,tt0000887,movie,N/A,N/A,N/A,N/A,True,
887,The Heart of a Clown,1909,N/A,30 Nov 1909,N/A,"Short, Drama",Edwin S. Porter,N/A,"Charles Ogle, Florence Turner","This picture portrays a day in the life of a clown who is proprietor of a small traveling circus in Europe. His favorite daughter is critically ill, and combined with his duties as the ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000888,movie,N/A,N/A,N/A,N/A,True,
888,The Heart of a Cowboy,1909,N/A,25 Dec 1909,N/A,"Short, Western",Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,"Gilbert M. 'Broncho Billy' Anderson, George Creel, Loma Besserer, Fred Church","Two handsome young Americans, cowboys of the ""Bar O"" ranch, fall in love with Kitty Blair, the pretty daughter of a neighboring ranchman. The two young fellows have been pals up to the time...",N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000889,movie,N/A,N/A,N/A,N/A,True,
889,The Heart of an Outlaw,1909,N/A,31 Dec 1909,N/A,"Short, Western",D.W. Griffith,N/A,"James Kirkwood, Marion Leonard, Gladys Egan","A man gets revenge on his cheating wife by killing her and her lover. He thinks he has killed his daughter as well, but she survives and is adopted by the sheriff. A few years later the man, now an outlaw, ambushes the sheriff and pl","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,32,tt0000890,movie,N/A,N/A,N/A,N/A,True,
890,Heksen og cyklisten,1909,N/A,04 Sep 1909,3 min,"Short, Comedy, Fantasy",Viggo Larsen,N/A,"Viking Ringheim, Petrine Sonne",N/A,None,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BNmVhODA0ZmYtNGE4Yi00MmM2LTk3M2YtYTJkZTAxNjVkYTIzXkEyXkFqcGdeQXVyNTc2MTU0ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,39,tt0000891,movie,N/A,N/A,N/A,N/A,True,
891,Her First Biscuits,1909,N/A,17 Jun 1909,6 min,"Comedy, Short",D.W. Griffith,D.W. Griffith,"John R. Cumpson, Florence Lawrence, Linda Arvidson, Charles Avery","A new bride has made a batch of biscuits. Her husband pretends to like them, so she delivers the rest to his office. But one bite of these biscuits makes you violently ill, and soon all his...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNmQxYzNiNmQtNWFkNy00OTg3LTk0NDAtZGRmZWQ5MjEyNTY4XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,42,tt0000892,movie,N/A,N/A,N/A,N/A,True,
892,Her Indian Hero,1912,N/A,17 Apr 1912,N/A,"Short, Western","Al Christie, Jack Conway, Milton J. Fahrney",N/A,"Jack Conway, George Gebhardt, Dorothy Davenport","The Chief's son, Silver Water, returns from college and is met at the station by the tribe. The Indians make merry to celebrate his homecoming. Hal Benton, an easterner, rides on to ask his way to the hotel, where he is stopping with","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNmMzMGVmYzUtOTZiNi00ZDM4LTljYjMtZTZlMTQ4NGQzYTllXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,26,tt0000893,movie,N/A,N/A,N/A,N/A,True,
893,The Farmer's Grandson,1909,N/A,19 May 1909,N/A,"Short, Drama",Viggo Larsen,N/A,"Aage Brandt, Agnes Nørlund Seemann","Inspector Brown at the estate is a wicked and brutal person, who is always quarreling with the workmen; but at the same time he is sly enough to ingratiate himself by sly words with the ...",None,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt0000894,movie,N/A,N/A,N/A,N/A,True,
894,The Hessian Renegades,1909,N/A,06 Sep 1909,10 min,"Drama, Short, War",D.W. Griffith,"D.W. Griffith, Frank E. Woods","Owen Moore, Linda Arvidson, Kate Bruce","During the American Revolution, a young soldier carrying a crucial message to General Washington is spotted and pursued by a group of enemy soldiers. He takes refuge with a civilian family, but is soon detected. The family and their ","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNWU3MDU4OTUtN2FiNy00ODI2LWFjMGQtODNhOGJmMDkwZmE5XkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,193,tt0000895,movie,N/A,N/A,N/A,N/A,True,
895,The Hindoo Dagger,1909,N/A,18 Feb 1909,10 min,"Short, Drama, Mystery",D.W. Griffith,D.W. Griffith,"Harry Solter, Marion Leonard, Arthur V. Johnson, George Gebhardt","Jack Windom experiences a sensation of awe at the reception of the Hindoo dagger from his old chum, Tom, who was traveling in India. Hanging the dagger on the wall. Jack goes out. For some ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,6,tt0000896,movie,N/A,N/A,N/A,N/A,True,
896,His Duty,1909,N/A,31 May 1909,5 min,"Drama, Short",D.W. Griffith,"O. Henry (story), Frank Powell","Kate Bruce, Frank Powell, Owen Moore, David Miles",A policeman faces a difficult decision when he finds out that his brother is a thief.,"None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,34,tt0000897,movie,N/A,N/A,N/A,N/A,True,
897,His Lost Love,1909,N/A,18 Oct 1909,11 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"James Kirkwood, Owen Moore, Mary Pickford, George Nichols","Mary marries James, after jilting his brother Luke. Mary's sister arrives and soon James is professing his love to her. The shock of this kills Mary and leaves her newborn daughter ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNzc3Y2ViMjgtODE4NC00NDJkLThhNTYtYjI5MWYxYTNiOWU4XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,8,tt0000898,movie,N/A,N/A,N/A,N/A,True,
898,His Reformation,1909,N/A,04 Dec 1909,N/A,"Short, Western",Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,"Gilbert M. 'Broncho Billy' Anderson, Fred Church, Pete Morrison, John B. O'Brien","Tom Carlton, leader of a band of Western bandits, tires of his life of crime and resolves to reform. Calling his band together, he tells them of his desire to be an honest man and advises ...",N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000899,movie,N/A,N/A,N/A,N/A,True,
899,His Ward's Love,1909,N/A,15 Feb 1909,3 min,Short,D.W. Griffith,D.W. Griffith,"Arthur V. Johnson, Florence Lawrence, Owen Moore, Linda Arvidson","Reverend Howson loves his young ward, but urges her to marry someone else. She accepts the proposal, but then sees the Reverend kissing an object she has dropped, and realizes he loves her.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000900,movie,N/A,N/A,N/A,N/A,True,
900,His Wife's Mother,1909,N/A,01 Mar 1909,6 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"John R. Cumpson, Florence Lawrence, Dorothy West, Anita Hendrie","Jones's mother-in-law prohibits his smoking and drinking, so he takes her out for the evening and gets her drunk.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,6,tt0000901,movie,N/A,N/A,N/A,N/A,True,
901,His Wife's Visitor,1909,N/A,19 Aug 1909,6 min,"Comedy, Short",D.W. Griffith,D.W. Griffith,"Billy Quirk, Mary Pickford, Frank Powell","Harry leaves his new wife at home while he goes out to play poker. Angry, his wife fakes evidence that she has had a male caller while he was gone.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTE4MThkMDQtOGE2NS00YTAwLTgyYTMtZWVjOWQ3OTY1NTdmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,6,tt0000902,movie,N/A,N/A,N/A,N/A,True,
902,The Honor of Thieves,1909,N/A,11 Jan 1909,11 min,"Short, Crime",D.W. Griffith,D.W. Griffith,"Florence Lawrence, Harry Solter, Owen Moore, George Gebhardt","Ned Grattan and Mike Murphy are a couple of crooks, who have looked with longing on the extravagant display of valuables in Einstein's loan office. They figure that if one could only gain ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,5,tt0000903,movie,N/A,N/A,N/A,N/A,True,
903,The House of Cards,1909,Not Rated,10 Dec 1909,16 min,"Short, Drama, Western",Edwin S. Porter,Edwin S. Porter,"Mary Fuller, Marc McDermott, Herbert Prior","The story revolves itself around a Western cowboy who has been sent to the town of Cedar Gulch to deposit gold in the bank for his boss. Arriving too late in the night to dispose of the gold, he seeks out the pretty daughter of the g","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNGMwZjJiOTItNmE4NS00MWU2LTg0OWItNTAyNWNmNDY4MGQyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,107,tt0000904,movie,N/A,N/A,N/A,N/A,True,
904,I Did It,1909,N/A,15 Mar 1909,4 min,Short,D.W. Griffith,D.W. Griffith,"Adele DeGarde, Anita Hendrie, Gladys Egan, Dorothy West","A mother punishes her son for eating a plate of cream puffs, unaware that the daughter really did it. As the daughter watches the punishment, she feels guilty, and confesses her misdeed.","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,6,tt0000905,movie,N/A,N/A,N/A,N/A,True,
905,The Idiot of the Mountains,1909,N/A,01 Dec 1909,N/A,"Short, Drama",Theo Frenkel,N/A,N/A,"An idiot fetches police to save a kidnapped girl, and is cured.",N/A,UK,N/A,N/A,[],N/A,N/A,N/A,tt0000906,movie,N/A,N/A,N/A,N/A,True,
906,In Little Italy,1909,N/A,23 Dec 1909,10 min,"Short, Drama",D.W. Griffith,Frank E. Woods,"Marion Leonard, George Nichols, Henry B. Walthall","Marie has two suitors. She accepts Victor and rejects Tony, who stabs Victor in a fit of jealousy. When he learns that Victor is still alive, he breaks into the room in Marie's house where Victor is convalescing and attacks him again","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,6,tt0000907,movie,N/A,N/A,N/A,N/A,True,
907,In Old Kentucky,1909,N/A,20 Sep 1909,11 min,"Short, Drama, War",D.W. Griffith,"Charles T. Dazey, Stanner E.V. Taylor","Verner Clarges, Kate Bruce, Henry B. Walthall","A stirring episode of the Civil War. At the beginning of the Civil War, Kentucky attempted to hold a neutral position between the belligerents, and her sons decided for themselves which side's cause to take up; hence it was that many","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZjI4ZDBhM2QtMTQyMS00NTM5LThhNGQtM2UzNmRlNDhjZTBkXkEyXkFqcGdeQXVyNDQwMzk4OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,30,tt0000908,movie,N/A,N/A,N/A,N/A,True,
908,In a Hempen Bag,1909,N/A,16 Dec 1909,5 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Grace Henderson, Ruth Hart, Dorothy West","A woman decides to drown the family cat which has become a nuisance. She ties it in a hempen bag and gives it to the deaf gardener to throw in the river. However, the children discover the cat and set if free. Meanwhile a maid who ha","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0000909,movie,N/A,N/A,N/A,N/A,True,
909,In the Watches of the Night,1909,N/A,25 Oct 1909,11 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Frank Powell, George Nichols, Marion Leonard, Gladys Egan","An honest worker, John Whitney, finds himself unemployed and unable to provide for his family. Desperate, he robs a rich man's home and is arrested. One of the police officers is an old ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,8,tt0000910,movie,N/A,N/A,N/A,N/A,True,
910,In the Window Recess,1909,N/A,29 Nov 1909,4 min,"Short, Drama",D.W. Griffith,Frank E. Woods,"George Nichols, Marion Leonard, Adele DeGarde, James Kirkwood","An escaped convict takes refuge in the home of a police officer out on duty. He seizes the officer's daughter and pulls her into a window recess, with a pistol to her head. The officer ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",N/A,3.8,8,tt0000911,movie,N/A,N/A,N/A,N/A,True,
911,The Indian Runner's Romance,1909,N/A,23 Aug 1909,11 min,"Western, Short",D.W. Griffith,Stanner E.V. Taylor,"Owen Moore, Frank Powell, Mary Pickford","An Indian comforts a dying prospector in his last moments. In exchange, the prospector tells him the location of his gold claim. A group of cowboys tries to get the information and go as far as kidnapping the Indian's wife.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg4ZGVkNjUtM2FmYy00OGU2LWI5OGMtMGFmOTRkZDAzNTE3XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,40,tt0000912,movie,N/A,N/A,N/A,N/A,True,
912,The Indian Trailer,1909,N/A,19 May 1909,N/A,"Short, Western",Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,The first scene opens on the property of a well-known Western ranchman. A bunch of cow punchers are assembled wasting their time and their employer's money by playing cards. The ranchman ...,N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000913,movie,N/A,N/A,N/A,N/A,True,
913,Industria del corcho,1909,N/A,N/A,7 min,Short,Fructuós Gelabert,N/A,N/A,Short documentary about the cork industry in San Feliu de Guixols.,N/A,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000914,movie,N/A,N/A,N/A,N/A,True,
914,Jailbird in Borrowed Feathers,1910,N/A,01 Jun 1910,N/A,"Short, Comedy",Theo Frenkel,N/A,N/A,A escaped convict changes clothes with a police inspector.,None,United Kingdom,N/A,N/A,[],N/A,N/A,N/A,tt0000915,movie,N/A,N/A,N/A,N/A,True,
915,Je voudrais un enfant,1910,N/A,18 Feb 1910,6 min,"Short, Comedy",Max Linder,"Lucien Boyer, Max Linder",Max Linder,"As a result of Max's desire for a family, his wife takes a recommended prescription and presents the dismayed Max with a family of a dozen or more children. A risque type of French comedy, not suited for critical audiences.","None, French",France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,48,tt0000916,movie,N/A,N/A,N/A,N/A,True,
916,Jealousy and the Man,1909,N/A,22 Jul 1909,5 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"James Kirkwood, Florence Lawrence, Gladys Egan, Anthony O'Sullivan",House painter Jim Brooks thinks his wife is cheating on him with his best friend John West. The intrigue is in fact a birthday surprise.,"None, English",USA,N/A,N/A,[],N/A,N/A,N/A,tt0000917,movie,N/A,N/A,N/A,N/A,True,
